"CAMPUS","FID_1","OBJECTID_1","OBJECTID","DISTRICT","DISTNAME","CAMPNAME","STREET_MAI","CITY_MAIL","ZIP_MAIL","STREET","CITY","ZIP","COUNTY","CNTYNAME","REGION","GRADERANGE","GRADEGRP","VERIFY","INSTR_TYPE","STREET_M_1","OBJECTID_2","JURISDICTI","CITY_NAME","JURISDIC_1","MODIFIED_F","JURISDIC_2","JURISDIC_3","CREATED_BY","CREATED_DA","MODIFIED_B","MODIFIED_D","AREA","LEN","CPETALLC","C_RATING","CAGC4X18N","CA0C4X18D"
"105,906,045","234","16,238","7,599","105,906","HAYS CISD","ARMANDO CHAPA MIDDLE","3311 DACY LN","KYLE","78,640","3311 DACY LN","KYLE","78,640","105","HAYS COUNTY","13","06 07 08","2","0","REGULAR INSTRUCTIONAL",,"12","382","CITY OF KYLE","KYLE ETJ","2,286","ETJ","OETJ","BERRYJ",,"meekss","2017 Mar 22 12:00:00 AM","316,496,934.311","115,871.187472","753","C",,
"227,913,104","129","9,977","1,338","227,913","LAKE TRAVIS ISD","LAKE POINTE ELEMENTARY","3322 RANCH RD 620 S","AUSTIN","78,738","11801 SONOMA DR","AUSTIN","78,738","227","TRAVIS COUNTY","13","KG 01 02 03 04 05","1","0","REGULAR",,"16","400,534,179","CITY OF BEE CAVE","BEE CAVE ETJ","334","ETJ","OETJ","Parkerr","2016 Feb 04 12:00:00 AM","meekss","2017 Jun 16 12:00:00 AM","30,558,663.7931","29,400.4721127","697","A",,
"227,904,048","290","17,212","8,573","227,904","PFLUGERVILLE ISD","CELE MIDDLE","6000 CELE RD","PFLUGERVILLE","78,660","6000 CELE RD","PFLUGERVILLE","78,660","227","TRAVIS COUNTY","13","06 07 08","2","0","REGULAR INSTRUCTIONAL",,"19","400,631,127","CITY OF PFLUGERVILLE","PFLUGERVILLE FULL PURPOSE","3,258","FULL PURPOSE","OCLL","meekss","2017 Oct 30 12:00:00 AM","meekss","2017 Oct 30 12:00:00 AM","5,714,138.55794","10,033.5832219","1,123","B",,
"227,904,106","21","13,845","5,206","227,904","PFLUGERVILLE ISD","WINDERMERE EL","1101 PICCADILLY DR","PFLUGERVILLE","78,660","1101 PICCADILLY DR","PFLUGERVILLE","78,660","227","TRAVIS COUNTY","13","03 04 05","1","1","REGULAR",,"20","400,631,129","CITY OF PFLUGERVILLE","PFLUGERVILLE FULL PURPOSE","3,258","FULL PURPOSE","OCLL","meekss","2017 Oct 30 12:00:00 AM","meekss","2018 Jun 15 12:00:00 AM","652,777,453.008","389,371.869462","417","B",,
"227,904,043","75","10,685","2,046","227,904","PFLUGERVILLE ISD","PARK CREST MIDDLE","1500 N RAILROAD AVE","PFLUGERVILLE","78,660","1500 N RAILROAD AVE","PFLUGERVILLE","78,660","227","TRAVIS COUNTY","13","06 07 08","2","1","REGULAR",,"20","400,631,129","CITY OF PFLUGERVILLE","PFLUGERVILLE FULL PURPOSE","3,258","FULL PURPOSE","OCLL","meekss","2017 Oct 30 12:00:00 AM","meekss","2018 Jun 15 12:00:00 AM","652,777,453.008","389,371.869462","909","B",,
"227,904,114","126","9,642","1,002","227,904","PFLUGERVILLE ISD","CALDWELL EL","1718 PICADILLY DR","ROUND ROCK","78,664","1718 PICADILLY DR","ROUND ROCK","78,664","227","TRAVIS COUNTY","13","EE PK KG 01 02 03 04 05","1","0","REGULAR",,"20","400,631,129","CITY OF PFLUGERVILLE","PFLUGERVILLE FULL PURPOSE","3,258","FULL PURPOSE","OCLL","meekss","2017 Oct 30 12:00:00 AM","meekss","2018 Jun 15 12:00:00 AM","652,777,453.008","389,371.869462","611","B",,
"227,904,109","137","10,906","2,267","227,904","PFLUGERVILLE ISD","SPRINGHILL EL","600 S HEATHERWILDE BLVD","PFLUGERVILLE","78,660","600 S HEATHERWILDE BLVD","PFLUGERVILLE","78,660","227","TRAVIS COUNTY","13","EE PK KG 01 02 03 04 05","1","1","REGULAR",,"20","400,631,129","CITY OF PFLUGERVILLE","PFLUGERVILLE FULL PURPOSE","3,258","FULL PURPOSE","OCLL","meekss","2017 Oct 30 12:00:00 AM","meekss","2018 Jun 15 12:00:00 AM","652,777,453.008","389,371.869462","587","C",,
"227,904,116","165","16,148","7,509","227,904","PFLUGERVILLE ISD","HIGHLAND PARK EL","528 KINGSTON LACY","PFLUGERVILLE","78,660","528 KINGSTON LACY","PFLUGERVILLE","78,660","227","TRAVIS COUNTY","13","EE PK KG 01 02 03 04 05","1","0","REGULAR INSTRUCTIONAL",,"20","400,631,129","CITY OF PFLUGERVILLE","PFLUGERVILLE FULL PURPOSE","3,258","FULL PURPOSE","OCLL","meekss","2017 Oct 30 12:00:00 AM","meekss","2018 Jun 15 12:00:00 AM","652,777,453.008","389,371.869462","621","A",,
"227,904,041","206","13,769","5,130","227,904","PFLUGERVILLE ISD","PFLUGERVILLE MIDDLE","1600 W SETTLERS VLY DR","PFLUGERVILLE","78,660","1600 W SETTLERS VLY DR","PFLUGERVILLE","78,660","227","TRAVIS COUNTY","13","06 07 08","2","1","REGULAR",,"20","400,631,129","CITY OF PFLUGERVILLE","PFLUGERVILLE FULL PURPOSE","3,258","FULL PURPOSE","OCLL","meekss","2017 Oct 30 12:00:00 AM","meekss","2018 Jun 15 12:00:00 AM","652,777,453.008","389,371.869462","1,040","C",,
"227,904,103","267","13,803","5,164","227,904","PFLUGERVILLE ISD","TIMMERMAN EL","700 W PECAN ST","PFLUGERVILLE","78,660","700 W PECAN ST","PFLUGERVILLE","78,660","227","TRAVIS COUNTY","13","EE PK KG 01 02 03 04 05","1","1","REGULAR",,"20","400,631,129","CITY OF PFLUGERVILLE","PFLUGERVILLE FULL PURPOSE","3,258","FULL PURPOSE","OCLL","meekss","2017 Oct 30 12:00:00 AM","meekss","2018 Jun 15 12:00:00 AM","652,777,453.008","389,371.869462","542","D",,
"227,904,001","316","13,749","5,110","227,904","PFLUGERVILLE ISD","PFLUGERVILLE H S","1301 W PECAN ST","PFLUGERVILLE","78,660","1301 W PECAN ST","PFLUGERVILLE","78,660","227","TRAVIS COUNTY","13","09 10 11 12","4","1","REGULAR",,"20","400,631,129","CITY OF PFLUGERVILLE","PFLUGERVILLE FULL PURPOSE","3,258","FULL PURPOSE","OCLL","meekss","2017 Oct 30 12:00:00 AM","meekss","2018 Jun 15 12:00:00 AM","652,777,453.008","389,371.869462","2,056","B","464","477"
"227,904,108","362","10,552","1,913","227,904","PFLUGERVILLE ISD","BROOKHOLLOW EL","1200 RAILROAD AVE","PFLUGERVILLE","78,660","1200 RAILROAD AVE","PFLUGERVILLE","78,660","227","TRAVIS COUNTY","13","EE PK KG 01 02 03 04 05","1","1","REGULAR",,"20","400,631,129","CITY OF PFLUGERVILLE","PFLUGERVILLE FULL PURPOSE","3,258","FULL PURPOSE","OCLL","meekss","2017 Oct 30 12:00:00 AM","meekss","2018 Jun 15 12:00:00 AM","652,777,453.008","389,371.869462","462","C",,
"227,904,004","392","15,827","7,188","227,904","PFLUGERVILLE ISD","HENDRICKSON H S","2905 FM 685","PFLUGERVILLE","78,660","2905 FM 685","PFLUGERVILLE","78,660","227","TRAVIS COUNTY","13","09 10 11 12","4","0","REGULAR INSTRUCTIONAL",,"20","400,631,129","CITY OF PFLUGERVILLE","PFLUGERVILLE FULL PURPOSE","3,258","FULL PURPOSE","OCLL","meekss","2017 Oct 30 12:00:00 AM","meekss","2018 Jun 15 12:00:00 AM","652,777,453.008","389,371.869462","2,396","A","675","688"
"227,904,112","420","10,056","1,417","227,904","PFLUGERVILLE ISD","MURCHISON EL","2215 KELLY LN","PFLUGERVILLE","78,660","2215 KELLY LN","PFLUGERVILLE","78,660","227","TRAVIS COUNTY","13","EE KG 01 02 03 04 05","1","0","REGULAR",,"20","400,631,129","CITY OF PFLUGERVILLE","PFLUGERVILLE FULL PURPOSE","3,258","FULL PURPOSE","OCLL","meekss","2017 Oct 30 12:00:00 AM","meekss","2018 Jun 15 12:00:00 AM","652,777,453.008","389,371.869462","859","A",,
"227,904,101","422","10,547","1,908","227,904","PFLUGERVILLE ISD","PFLUGERVILLE EL","701 IMMANUEL RD","PFLUGERVILLE","78,660","701 IMMANUAL RD","PFLUGERVILLE","78,660","227","TRAVIS COUNTY","13","EE KG 01 02 03 04 05","1","1","REGULAR",,"20","400,631,129","CITY OF PFLUGERVILLE","PFLUGERVILLE FULL PURPOSE","3,258","FULL PURPOSE","OCLL","meekss","2017 Oct 30 12:00:00 AM","meekss","2018 Jun 15 12:00:00 AM","652,777,453.008","389,371.869462","512","B",,
